0.0042031074,-0.0001533981,0.4993586834,-1.2090644823,0.0065553710,1.4286394510,-1.6042109824,-0.0043258258,0.0000613592,0.4989751882,-1.2090165454,0.0069388662,1.4288192143,-1.6079999149
0.0041417481,-0.0001840777,0.4995504310,-1.2097835357,0.0070347400,1.4285915141,-1.6046841196,-0.0043258258,0.0000920388,0.4990710620,-1.2097355988,0.0075260932,1.4287832617,-1.6085411225
0.0040803889,-0.0002454369,0.4999818631,-1.2108381475,0.0075620459,1.4285315929,-1.6052756609,-0.0042951462,0.0000920388,0.4993107465,-1.2107422737,0.0082331625,1.4287233405,-1.6090569235
0.0040497093,-0.0002454369,0.5001256738,-1.2111257689,0.0076818882,1.4285076245,-1.6054427210,-0.0042644666,0.0000920388,0.4993586834,-1.2110298951,0.0084129259,1.4286993721,-1.6091532767
0.0039883500,-0.0002761165,0.5004132951,-1.2117489486,0.0078616515,1.4284716718,-1.6057336980,-0.0042644666,0.0001227185,0.4995504310,-1.2116051379,0.0087125315,1.4286394510,-1.6092371663
0.0039576704,-0.0003374758,0.5007488534,-1.2122762545,0.0079335569,1.4284596876,-1.6059690682,-0.0042337870,0.0001227185,0.4996942417,-1.2121324438,0.0089162633,1.4285915141,-1.6091825182
0.0038963112,-0.0003681554,0.5010844117,-1.2127556235,0.0079095884,1.4284596876,-1.6061514681,-0.0042337870,0.0001227185,0.4998859893,-1.2125638759,0.0090241214,1.4285555614,-1.6089965230
0.0038042724,-0.0004295146,0.5016596545,-1.2134267401,0.0077058566,1.4284956403,-1.6063341076,-0.0042031074,0.0001227185,0.5002215475,-1.2131391187,0.0089881687,1.4284956403,-1.6084907888
0.0038042724,-0.0004601942,0.5018514021,-1.2136184877,0.0075860144,1.4285196087,-1.6063734159,-0.0042031074,0.0001533981,0.5003174213,-1.2132829294,0.0089402318,1.4284836560,-1.6082669234
0.0037429131,-0.0004908739,0.5022348973,-1.2139540460,0.0072983930,1.4286034983,-1.6064227909,-0.0041724277,0.0001533981,0.5005571058,-1.2135705508,0.0087604684,1.4284716718,-1.6077432128
0.0036815539,-0.0005522331,0.5026663294,-1.2142416674,0.0069388662,1.4287113563,-1.6064374117,-0.0041417481,0.0001533981,0.5007967903,-1.2137622984,0.0084968155,1.4284836560,-1.6071272236
0.0036508743,-0.0005829127,0.5030498246,-1.2144813519,0.0065074341,1.4288671512,-1.6064218322,-0.0041417481,0.0001533981,0.5009885379,-1.2139540460,0.0081612572,1.4285196087,-1.6064304608
0.0035588354,-0.0006442719,0.5036730043,-1.2147689733,0.0057644122,1.4291907253,-1.6063537618,-0.0041110685,0.0001840777,0.5013720331,-1.2140978567,0.0075380775,1.4286274667,-1.6052564861
0.0035588354,-0.0006749515,0.5038647519,-1.2148648471,0.0054887750,1.4293225518,-1.6063216441,-0.0041110685,0.0001840777,0.5014679069,-1.2140978567,0.0072983930,1.4286873879,-1.6048358398
0.0034974762,-0.0007363108,0.5042961840,-1.2150086578,0.0049255164,1.4296341416,-1.6062473419,-0.0040803889,0.0001840777,0.5017075914,-1.2141457936,0.0067830713,1.4288192143,-1.6039590740
0.0034361170,-0.0007669904,0.5046796792,-1.2151045316,0.0043263052,1.4299936684,-1.6061639317,-0.0040497093,0.0001840777,0.5018993390,-1.2141457936,0.0062317970,1.4289989777,-1.6030437189
0.0034054373,-0.0008283496,0.5050631744,-1.2152004054,0.0037151097,1.4304251005,-1.6060762071,-0.0040497093,0.0002147573,0.5020910866,-1.2140978567,0.0056445699,1.4292266780,-1.6021015191
0.0033440781,-0.0008897089,0.5055904803,-1.2152962792,0.0027803402,1.4311920909,-1.6059470172,-0.0040190297,0.0002147573,0.5023787080,-1.2139540460,0.0047337688,1.4296461259,-1.6006586184
0.0033133985,-0.0009203885,0.5057342910,-1.2153442161,0.0024687503,1.4314797123,-1.6059065105,-0.0040190297,0.0002147573,0.5024745818,-1.2139061091,0.0044221790,1.4298139050,-1.6001739764
0.0032520393,-0.0009510681,0.5060698493,-1.2153921530,0.0018575549,1.4321028920,-1.6058329274,-0.0039883500,0.0002147573,0.5026183925,-1.2138102353,0.0038109835,1.4301854160,-1.5992058907
0.0032213597,-0.0010124273,0.5063574707,-1.2153921530,0.0012703278,1.4327979770,-1.6057720475,-0.0039883500,0.0002147573,0.5027622032,-1.2136664246,0.0031997880,1.4306168481,-1.5982466733
0.0031600004,-0.0010431069,0.5066450921,-1.2154400899,0.0007070693,1.4335649674,-1.6057272265,-0.0039576704,0.0002147573,0.5028580770,-1.2135226139,0.0026125610,1.4310962171,-1.5973061513
0.0030986412,-0.0011351458,0.5070285873,-1.2154880268,-0.0000838896,1.4348233110,-1.6056965469,-0.0039269908,0.0002454369,0.5029539508,-1.2133308663,0.0017616811,1.4319351128,-1.5959447434
0.0030679616,-0.0011351458,0.5071244611,-1.2154880268,-0.0003355583,1.4352787116,-1.6056970262,-0.0039269908,0.0002454369,0.5030018877,-1.2132829294,0.0014980281,1.4322347184,-1.5955066001
0.0030372820,-0.0011965050,0.5073162087,-1.2155359637,-0.0007909588,1.4362254653,-1.6057157216,-0.0038963112,0.0002454369,0.5030018877,-1.2131391187,0.0009946907,1.4328818666,-1.5946585964
0.0029759227,-0.0012271846,0.5075079563,-1.2155839006,-0.0012104067,1.4372441244,-1.6057593442,-0.0038963112,0.0002454369,0.5030018877,-1.2129953080,0.0005273059,1.4335769516,-1.5938520580
0.0029452431,-0.0012578642,0.5076517670,-1.2156318375,-0.0015819177,1.4382987362,-1.6058288527,-0.0038656316,0.0002454369,0.5030018877,-1.2128994342,0.0001078580,1.4343199736,-1.5930932169
0.0028532043,-0.0013192235,0.5077955777,-1.2157277113,-0.0020612867,1.4399765277,-1.6059824905,-0.0038349520,0.0002454369,0.5029060139,-1.2127076866,-0.0004434163,1.4355183961,-1.5920510687
0.0028532043,-0.0013499031,0.5078435146,-1.2157756482,-0.0021931132,1.4405517705,-1.6060469656,-0.0038349520,0.0002454369,0.5029060139,-1.2126597497,-0.0005992112,1.4359378439,-1.5917301312
0.0027918450,-0.0013805827,0.5079393884,-1.2158235851,-0.0024327977,1.4417382088,-1.6061955700,-0.0038042724,0.0002454369,0.5028101401,-1.2126118128,-0.0008868326,1.4368007081,-1.5911294818
0.0027611654,-0.0014419419,0.5080352622,-1.2159194589,-0.0026485137,1.4429486155,-1.6063698206,-0.0037735927,0.0002147573,0.5026663294,-1.2125159390,-0.0011145329,1.4376995250,-1.5905849186
