p_x,p_y,p_z,v_x,v_y,v_z,r11,r12,r13,r21,r22,r23,r31,r32,r33
1.15583,-0.0149156,0.841488,0.229313,-0.0108287,-0.0241323,0.995947,-0.0715581,0.0544939,0.0779168,0.98906,-0.125257,-0.0449345,0.128996,0.990627
1.15596,-0.0149778,0.841475,0.2301,-0.0111857,-0.0248556,0.995949,-0.071576,0.0544303,0.0779356,0.989033,-0.125462,-0.0448533,0.129196,0.990604
1.15609,-0.0150395,0.841461,0.230845,-0.0115414,-0.025609,0.995952,-0.0715947,0.0543549,0.0779532,0.989006,-0.125656,-0.044761,0.129385,0.990584
1.15622,-0.0151021,0.841447,0.231589,-0.0118991,-0.0263625,0.995954,-0.0716134,0.0542794,0.0779708,0.98898,-0.125851,-0.0446687,0.129574,0.990563
1.15634,-0.0151649,0.841433,0.232332,-0.0122574,-0.027116,0.995957,-0.0716321,0.0542039,0.0779883,0.988954,-0.126045,-0.0445763,0.129763,0.990543
1.15647,-0.0152278,0.841418,0.233057,-0.0126178,-0.0278784,0.99596,-0.0716514,0.0541207,0.078005,0.988929,-0.126233,-0.0444768,0.129945,0.990523
1.1566,-0.0152909,0.841403,0.233781,-0.0129789,-0.0286409,0.995963,-0.0716706,0.0540374,0.0780217,0.988904,-0.126421,-0.0443771,0.130127,0.990504
1.15673,-0.0153537,0.841388,0.234487,-0.0133419,-0.0294053,0.995967,-0.0716905,0.0539429,0.078037,0.98888,-0.126598,-0.0442671,0.130297,0.990486
1.15686,-0.0154172,0.841372,0.235191,-0.0137066,-0.0301698,0.995971,-0.0717104,0.0538483,0.0780524,0.988856,-0.126776,-0.044157,0.130468,0.990469
1.15699,-0.015481,0.841355,0.235895,-0.0140721,-0.0309343,0.995975,-0.0717303,0.0537537,0.0780677,0.988832,-0.126954,-0.0440469,0.130639,0.990451
1.15712,-0.0155451,0.841338,0.236598,-0.0144439,-0.0316868,0.995979,-0.0717506,0.0536519,0.0780821,0.988809,-0.127125,-0.0439302,0.130803,0.990435
1.15726,-0.0156092,0.841321,0.237301,-0.014816,-0.0324392,0.995983,-0.0717709,0.0535501,0.0780965,0.988785,-0.127296,-0.0438134,0.130967,0.990418
1.15739,-0.015673,0.841303,0.23801,-0.015199,-0.0331618,0.995987,-0.0717917,0.0534382,0.0781096,0.988764,-0.127457,-0.0436874,0.13112,0.990403
1.15752,-0.0157377,0.841285,0.238719,-0.0155835,-0.0338845,0.995992,-0.0718126,0.0533263,0.0781227,0.988742,-0.127618,-0.0435613,0.131272,0.990389
1.15765,-0.0158027,0.841267,0.239427,-0.0159688,-0.0346072,0.995996,-0.0718335,0.0532143,0.0781358,0.98872,-0.127779,-0.0434352,0.131425,0.990374
1.15778,-0.0158678,0.841248,0.240141,-0.0163617,-0.0353043,0.996001,-0.0718548,0.053096,0.0781481,0.988699,-0.127933,-0.0433033,0.131571,0.990361
1.15792,-0.015933,0.841228,0.240856,-0.0167551,-0.0360013,0.996006,-0.0718761,0.0529777,0.0781603,0.988678,-0.128087,-0.0431715,0.131716,0.990347
1.15805,-0.015998,0.841209,0.241588,-0.0171639,-0.0366542,0.996011,-0.071898,0.0528507,0.0781715,0.988659,-0.12823,-0.0430318,0.13185,0.990335
1.15818,-0.0160638,0.841189,0.242319,-0.0175743,-0.0373072,0.996016,-0.07192,0.0527237,0.0781827,0.988639,-0.128374,-0.042892,0.131984,0.990323
1.15832,-0.0161297,0.841168,0.243049,-0.0179851,-0.0379601,0.996021,-0.0719419,0.0525966,0.0781939,0.98862,-0.128517,-0.0427523,0.132119,0.990312
1.15845,-0.0161957,0.841147,0.243794,-0.0184085,-0.0385798,0.996026,-0.0719643,0.0524643,0.0782044,0.988601,-0.128654,-0.0426078,0.132245,0.990301
1.15859,-0.0162621,0.841126,0.244537,-0.0188327,-0.0391995,0.996032,-0.0719866,0.052332,0.0782149,0.988583,-0.12879,-0.0424633,0.132372,0.99029
1.15872,-0.0163281,0.841105,0.245293,-0.019272,-0.0397774,0.996037,-0.0720097,0.0521925,0.0782246,0.988566,-0.128915,-0.0423126,0.132487,0.990281
1.15886,-0.0163948,0.841083,0.246048,-0.0197128,-0.0403553,0.996043,-0.0720327,0.0520529,0.0782343,0.988548,-0.12904,-0.0421617,0.132602,0.990272
1.159,-0.0164619,0.841061,0.246802,-0.0201542,-0.0409332,0.996049,-0.0720558,0.0519134,0.078244,0.988531,-0.129165,-0.0420109,0.132717,0.990263
1.15913,-0.0165291,0.841038,0.247558,-0.0206051,-0.0414884,0.996054,-0.0720794,0.0517695,0.0782532,0.988515,-0.129283,-0.0418563,0.132824,0.990255
1.15927,-0.0165967,0.841016,0.248314,-0.0210567,-0.0420435,0.99606,-0.0721029,0.0516256,0.0782624,0.988499,-0.129401,-0.0417017,0.132931,0.990248
1.15941,-0.0166641,0.840993,0.249063,-0.0215211,-0.0425776,0.996066,-0.0721272,0.0514759,0.078271,0.988484,-0.129507,-0.0415421,0.133027,0.990241
1.15954,-0.016732,0.840969,0.249811,-0.0219865,-0.0431117,0.996072,-0.0721515,0.0513261,0.0782796,0.98847,-0.129613,-0.0413825,0.133122,0.990235
1.15968,-0.0168,0.840945,0.250558,-0.0224522,-0.0436458,0.996078,-0.0721758,0.0511763,0.0782881,0.988455,-0.12972,-0.0412229,0.133217,0.990229
1.15982,-0.0168684,0.840921,0.251292,-0.0229264,-0.0441752,0.996084,-0.0722006,0.0510229,0.0782963,0.988442,-0.129818,-0.0410603,0.133305,0.990224
1.15996,-0.016937,0.840897,0.252026,-0.0234013,-0.0447046,0.99609,-0.0722253,0.0508696,0.0783045,0.988428,-0.129917,-0.0408977,0.133392,0.990219
1.1601,-0.0170055,0.840872,0.25273,-0.0238854,-0.0452408,0.996096,-0.0722508,0.0507114,0.0783122,0.988416,-0.130003,-0.0407311,0.133467,0.990216
1.16024,-0.0170745,0.840848,0.253433,-0.0243702,-0.045777,0.996103,-0.0722762,0.0505531,0.0783198,0.988404,-0.13009,-0.0405644,0.133543,0.990213
1.16038,-0.0171437,0.840822,0.254136,-0.0248554,-0.0463132,0.996109,-0.0723017,0.0503948,0.0783275,0.988392,-0.130177,-0.0403978,0.133618,0.990209
1.16051,-0.0172133,0.840797,0.254808,-0.0253429,-0.0468645,0.996115,-0.0723276,0.0502334,0.0783347,0.988381,-0.130256,-0.0402286,0.133685,0.990207
1.16065,-0.0172829,0.840771,0.255479,-0.0258304,-0.0474157,0.996121,-0.0723535,0.050072,0.078342,0.98837,-0.130335,-0.0400595,0.133752,0.990205
1.1608,-0.0173524,0.840745,0.256091,-0.0263214,-0.0480056,0.996128,-0.0723798,0.0499063,0.0783487,0.988361,-0.130403,-0.0398869,0.133808,0.990204
1.16094,-0.0174224,0.840718,0.256701,-0.0268131,-0.0485954,0.996134,-0.0724062,0.0497404,0.0783553,0.988351,-0.13047,-0.0397142,0.133863,0.990204
1.16108,-0.0174928,0.840691,0.25731,-0.0273052,-0.0491852,0.99614,-0.0724326,0.0495746,0.0783619,0.988342,-0.130537,-0.0395415,0.133918,0.990203
1.16122,-0.0175632,0.840664,0.25788,-0.0277994,-0.0498041,0.996147,-0.0724592,0.049406,0.0783681,0.988333,-0.130597,-0.0393666,0.133966,0.990204
1.16136,-0.0176339,0.840637,0.258448,-0.0282939,-0.0504229,0.996153,-0.0724859,0.0492373,0.0783743,0.988325,-0.130657,-0.0391917,0.134013,0.990204
1.1615,-0.0177045,0.840609,0.258951,-0.0287876,-0.0510896,0.99616,-0.0725127,0.0490646,0.0783796,0.988318,-0.130705,-0.0390136,0.134049,0.990206
1.16164,-0.0177755,0.840581,0.259452,-0.0292816,-0.0517562,0.996166,-0.0725396,0.0488917,0.078385,0.988311,-0.130753,-0.0388355,0.134085,0.990209
1.16179,-0.0178467,0.840552,0.259952,-0.0297758,-0.0524229,0.996173,-0.0725665,0.0487189,0.0783903,0.988305,-0.130802,-0.0386573,0.13412,0.990211
1.16193,-0.0179181,0.840523,0.260408,-0.0302693,-0.053123,0.99618,-0.0725934,0.0485433,0.078395,0.988299,-0.130843,-0.038477,0.134148,0.990214
